#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
221        3408.61 2075.04 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
222        3455.27 520.899 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
223        2560.46 1210.82 14.077  0.016   0.632   0.041   -0.060  0.037   0.600   0.018  
224        2776.72 2461.52 13.559  0.010   1.076   0.021   0.846   0.021   0.911   0.012  
225        325.903 2913.36 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
226        336.421 1919.93 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
227        2136.35 3934.12 13.487  0.029   0.847   0.056   0.209   0.047   0.845   0.028  
228        1285.45 790.143 13.452  0.026   0.584   0.047   0.243   0.039   0.522   0.027  
229        924.761 2587.73 13.658  0.022   0.789   0.037   0.402   0.027   0.607   0.022  
230        1353.58 265.258 13.524  0.030   1.699   0.043   0.954   0.032   1.624   0.031  
231        3824.55 4068.39 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
232        3026.54 1765.94 13.640  0.014   0.920   0.031   0.292   0.027   0.885   0.015  
233        1443.74 3414.70 13.649  0.010   0.615   0.031   0.016   0.030   0.528   0.011  
234        4020.95 3622.40 13.552  0.025   1.681   0.038   1.181   0.026   1.709   0.025  
235        3908.61 3425.92 13.796  0.017   0.926   0.030   0.216   0.025   0.969   0.017  
236        851.600 2013.46 13.540  0.024   0.756   0.043   0.258   0.035   0.833   0.024  
237        563.936 947.904 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
238        1063.78 1196.25 14.012  0.016   1.610   0.035   1.075   0.034   1.789   0.017  
239        956.425 185.909 14.256  0.029   0.832   0.038   0.244   0.024   INDEF   INDEF  
240        3019.26 1338.45 13.894  0.013   0.648   0.031   0.265   0.028   0.548   0.015  
241        3613.82 1172.82 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
242        885.089 1419.44 13.476  0.028   0.639   0.054   0.338   0.045   0.631   0.027  
243        2103.05 3513.55 13.348  0.025   0.746   0.044   0.335   0.035   0.689   0.025  
244        309.642 2855.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
245        3888.99 2112.74 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
246        1799.68 2285.95 13.564  0.017   1.025   0.033   0.335   0.029   0.857   0.016  
247        540.898 1218.25 13.802  0.017   0.933   0.050   0.406   0.049   1.065   0.019  
248        2651.88 1359.01 14.015  0.025   0.809   0.044   0.195   0.034   0.622   0.026  
249        2304.09 1848.01 13.705  0.011   1.706   0.021   1.219   0.019   1.563   0.011  
