#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
248        2651.88 1359.01 14.018  0.025   0.816   0.044   0.223   0.037   0.612   0.026  
249        2304.09 1848.01 13.719  0.010   1.714   0.021   1.288   0.020   1.564   0.011  
250        2811.85 528.585 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
251        3707.17 1734.33 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
252        2668.56 2402.71 14.007  0.012   0.801   0.024   -0.044  0.023   1.081   0.013  
253        1776.08 2792.68 13.645  0.021   0.596   0.031   0.251   0.022   0.428   0.020  
254        2274.84 1665.38 13.943  0.017   1.659   0.025   1.050   0.019   1.595   0.017  
255        3698.44 1955.17 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
256        2799.94 2593.09 14.576  0.012   2.408   0.020   0.680   0.022   3.309   0.014  
257        3736.36 3560.31 13.950  0.024   0.719   0.038   0.343   0.029   0.702   0.024  
258        238.050 2509.54 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
259        2336.19 985.036 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
260        1230.40 3432.45 13.878  0.015   0.981   0.036   0.469   0.034   1.083   0.016  
261        3040.98 3203.32 13.656  0.014   1.888   0.023   1.268   0.021   1.737   0.016  
262        3226.48 1191.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
263        2397.45 232.875 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
264        1249.70 1269.16 13.546  0.027   0.755   0.042   0.366   0.033   0.695   0.026  
265        694.480 1741.39 13.696  0.024   0.710   0.048   0.062   0.043   0.674   0.024  
266        420.974 3864.17 13.700  0.028   1.505   0.051   1.083   0.045   1.527   0.032  
267        3326.30 1151.69 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
268        254.259 383.698 14.485  0.026   0.813   0.038   0.243   0.027   INDEF   INDEF  
269        3546.16 3047.70 13.944  0.024   0.772   0.035   0.264   0.025   0.663   0.024  
270        132.380 2180.55 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
271        3610.56 2346.79 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
272        1911.33 704.890 14.045  0.017   0.830   0.040   0.053   0.040   0.965   0.019  
273        3499.64 3850.49 14.680  0.019   2.426   0.032   0.899   0.028   2.838   0.019  
274        523.783 88.306  12.713  0.031   2.237   0.048   1.298   0.039   INDEF   INDEF  
275        3693.02 935.750 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
276        1457.78 308.937 14.009  0.029   0.794   0.044   0.012   0.034   0.644   0.030  
277        1215.20 330.353 14.001  0.018   0.801   0.037   0.244   0.036   0.717   0.022  
278        871.226 3824.86 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
279        1629.91 2484.97 14.224  0.015   1.574   0.027   0.743   0.024   1.637   0.015  
280        1132.69 1807.74 14.312  0.014   1.673   0.027   1.077   0.026   1.786   0.014  
281        1327.95 3104.94 13.916  0.013   0.911   0.025   0.567   0.022   0.756   0.014  
282        3584.45 1496.25 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
283        10.653  1447.80 15.150  0.107   0.107   0.122   INDEF   INDEF   INDEF   INDEF  
284        1579.43 3860.20 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
285        1301.22 1981.80 14.323  0.019   1.812   0.029   1.091   0.024   1.866   0.019  
286        755.072 3156.46 14.022  0.014   1.188   0.037   0.526   0.036   1.236   0.016  
287        1980.49 4.382   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
288        2962.22 2427.25 13.954  0.014   0.891   0.024   0.201   0.022   0.826   0.014  
289        1629.31 3107.44 15.039  0.009   2.708   0.020   0.491   0.022   3.232   0.010  
290        2949.23 2353.73 13.851  0.012   0.755   0.025   0.079   0.025   0.632   0.013  
291        2483.95 1472.66 14.224  0.014   0.640   0.035   0.263   0.034   0.831   0.015  
292        789.067 2977.04 13.991  0.012   0.821   0.037   0.446   0.037   0.708   0.013  
