
# Sun 12:05:37 24-Dec-2017
# List of observations files:
#		daom.obs
# Config:	bh73.cfg
# Parameters:	bh73.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)


259        2336.19 985.036 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
260        1230.40 3432.45 13.879  0.015   0.985   0.036   0.446   0.033   1.098   0.016  
261        3040.98 3203.32 13.651  0.014   1.903   0.023   1.223   0.021   1.746   0.016  
262        3226.48 1191.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
263        2397.45 232.875 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
264        1249.70 1269.16 13.549  0.027   0.757   0.042   0.346   0.032   0.710   0.026  
265        694.480 1741.39 13.699  0.024   0.712   0.049   0.049   0.043   0.690   0.024  
266        420.974 3864.17 13.698  0.029   1.516   0.051   1.044   0.044   1.538   0.032  
267        3326.30 1151.69 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
268        254.259 383.698 14.487  0.026   0.815   0.038   0.225   0.026   INDEF   INDEF  
269        3546.16 3047.70 13.946  0.024   0.774   0.035   0.246   0.025   0.679   0.024  
270        132.380 2180.55 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
271        3610.56 2346.79 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
272        1911.33 704.890 14.047  0.017   0.832   0.041   0.039   0.039   0.980   0.019  
273        3499.64 3850.49 14.671  0.019   2.447   0.032   0.860   0.027   2.843   0.020  
274        523.783 88.306  12.706  0.032   2.255   0.049   1.251   0.038   INDEF   INDEF  
